nom,station_id,RL_best,alpha_RL,Vmax_RL,calib_RL,valid_RL,prev_RL,GR4J_best,params_GR4J,calib_GR4J,valid_GR4J,prev_GR4J,HMP_best,params_HMP,calib_HMP,valid_HMP,prev_HMP,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Douffine,J383401001,No,0.0055619779978323455,438.94318990296534,0.5232346636648193,0.44543852537318307,,Yes,"[62.47722245575265, -0.6986552274421121, 295.0145520166827, 1.4923700239126525]",0.9294325025960726,0.9281307730681349,0.9565625586218961,Yes,"{'sy': 0.0065195312499999, 'hk': 8.36114249554595e-05}",0.9344693974288076,0.9369062666892304,0.8907177258196111,No,"{'sy': 0.01, 'hk': 1.2956866975170042e-05}",0.8589936461895322,0.8418984462975723,
Inam,J473401001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Ster-Goz,J461401001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Rosette,J111401001,No,0.0020730104563469894,285.41589571647444,0.6251429131922588,0.6307355283864815,,Yes,"[312.7942093281293, -4.377945441257088, 74.32568882780983, 1.5752475641877801]",0.9282287847515206,0.9312895842006814,0.8416283038212021,Yes,"{'sy': 0.0007749999999999, 'hk': 0.0008722179096569}",0.8986775766523548,0.8707692539880186,0.8423034518590071,Yes,"{'sy': 0.0001, 'hk': 8.41395141645186e-06}",0.8829453032223847,0.9044973050885587,0.8097998141249056
Isole_Scaer,J480301001,No,0.004757294274720097,431.06487688307664,0.5360366710763262,0.5473299567198331,,Yes,"[645.4837269650621, -0.6967475261264401, 76.70753933829559, 1.4466966966967014]",0.9287058408796768,0.9368756071314991,0.6863348213875411,Yes,"{'sy': 0.0083687499999999, 'hk': 4.387200675722111e-05}",0.9348573113225704,0.9665757490284204,0.9586123611566509,Yes,"{'sy': 0.01, 'hk': 1.8302061063110323e-05}",0.9259751837099872,0.9618267872135152,0.9477808383288188
Blavet_Kerien,J520211001,No,0.004682141315110489,414.0307449667551,0.581450504417615,0.5700973628600445,,Yes,"[405.7648881967802, -0.8686935846913101, 171.4915880598621, 1.4975652247999882]",0.926093459989498,0.9296488301452284,0.8814611047164037,Yes,"{'sy': 0.0131084716796874, 'hk': 4.9586257131603454e-05}",0.9546480779248482,0.9701811816875175,0.9425151656868996,Yes,"{'sy': 0.01, 'hk': 6.493816315762059e-06}",0.9376755295647148,0.946650030344042,0.9317358395541555
Elle_Priziac,J471201002,No,0.006542239410168316,378.5851817042055,0.4984618855541404,0.5063486644689561,,Yes,"[512.8585109428291, -0.19114523185694457, 62.177922934760794, 1.9834834834834858]",0.9444676190097148,0.9265590508628035,0.8944279063267004,Yes,"{'sy': 0.0069382202148437, 'hk': 1.3417176498502036e-05}",0.9555962761073244,0.956228003878652,0.9186300967640827,Yes,"{'sy': 0.01, 'hk': 1.539926526059473e-05}",0.9469193056550538,0.9394823034587227,0.8777636653192598
Coet-Organ,J570481001,No,0.0027609091666700282,631.8631158376822,0.49112188200710927,0.5105614461244883,,Yes,"[284.83370032120087, -1.204147604230032, 403.78488492182834, 1.319421924403958]",0.9518417136439327,0.9591643028895429,0.9350323111064358,Yes,"{'sy': 0.00971875, 'hk': 1.5399265260594885e-05}",0.9453870894226324,0.9731363611994116,0.8660287879220715,Yes,"{'sy': 0.01, 'hk': 1.258925411794153e-05}",0.9450755012467396,0.970975118128014,0.8519518429318944
Evron,J132401001,No,0.0036777545323450392,240.02577148327748,0.6883087211545811,0.6496589002612871,,Yes,"[327.01302437597104, -1.8828873741812675, 46.993063231579285, 1.5442942942942963]",0.9355199065402342,0.9234678858642289,0.8362632661932119,Yes,"{'sy': 0.0016600585937499, 'hk': 0.0008298862226059}",0.9482446208525608,0.895234273747419,0.9071116616205628,Yes,"{'sy': 0.0001, 'hk': 4.8696752516586e-06}",0.9507965539711418,0.9396325082450454,0.9428465889621606
Scorff,J510221001,No,0.0029620305665154782,527.2270289465876,0.5386429879866227,0.5238440260564716,,Yes,"[634.6067260771696, -3.415287253848616, 194.8943498395474, 1.648356740380116]",0.9299924811532012,0.9015835018236359,0.8605805483225806,Yes,"{'sy': 0.0083687499999999, 'hk': 4.387200675722111e-05}",0.953482163375113,0.967472223517804,0.9502029048621683,Yes,"{'sy': 0.01, 'hk': 6.309573444801884e-06}",0.9370765542075328,0.9570189096785908,0.9174296847739092
